word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
whose,0.0012952844,0.00076050076,0,0.00075361736,0,0,0,0,0,0.00032229474,0,0.00083630687,0,0.0015098138
not,0,0,0,0,0,0,0,0,0,0,0,0,0,0
owes,0.00032382109,0,0,0,0,0,0,0,0,0,0,0,0,0
herself,0,0,0,0,0,0,0,0,0,0,0.00029664788,0,0,0
all,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mankind,0,0,0,0,0,0,0,0,0,0,0.0017798873,0,0,0.0014594867
amazed,0,0,0,0.000050241158,0,0,0,0,0.000074074074,0,0,0,0,0
anxious,0.00032382109,0,0,0,0,0,0,0,0,0,0.00029664788,0,0,0
interrupted,0.00016191054,0,0.00013649082,0,0.000062699856,0,0,0,0,0,0,0,0,0
means,0.0032382109,0.0018720019,0,0,0,0,0.0024256537,0.0017475534,0,0.0029812263,0,0.0011708296,0.00066992698,0.001207851
trade,0,0,0,0,0,0,0.0023771406,0,0,0,0,0.016280107,0,0
only,0,0,0,0,0,0,0,0,0,0,0,0,0,0
also,0,0,0,0,0,0,0,0,0,0,0,0,0,0
processes,0.0012952844,0,0,0,0,0,0.0001940523,0,0,0,0,0,0,0
production,0,0,0,0,0,0,0.010769902,0,0,0.0065264685,0,0,0.0043545254,0
europe,0,0,0.01248891,0,0,0,0,0,0,0,0,0.0016168599,0,0
destroying,0,0,0,0,0,0,0,0,0.00014814815,0,0,0,0,0.00055359839
resources,0,0,0,0,0,0.0020632991,0.0015039053,0,0,0.0021754895,0,0,0.010316875,0.0027679919
wholesale,0,0,0,0,0,0,0.00063066997,0,0,0,0,0,0,0
scale,0,0,0,0,0,0.00011053388,0.00082472226,0,0,0.0012086053,0,0,0,0
unprecedented,0,0,0.0012284174,0,0.00081509813,0.0001473785,0,0,0.00066666667,0,0,0,0,0
appalling,0,0,0,0,0,0,0,0,0,0,0.00014832394,0,0,0.00015098138
there,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reason,0.0015786278,0,0,0,0,0,0,0.000049930098,0,0,0,0,0,0.0014091595
time,0,0,0,0,0,0,0,0,0,0,0,0,0,0
if,0,0,0,0,0,0,0,0,0,0,0,0,0,0
already,0.0010119409,0,0.0013649082,0.000050241158,0.0023825945,0.0030212593,0,0.0024465748,0.0015555556,0.0038675369,0,0,0.00046894888,0.00040261701
hand,0.0011333738,0.0015210015,0,0,0,0,0,0,0,0.0016920474,0,0,0,0
when,0,0,0,0,0,0,0,0,0,0,0,0,0,0
several,0,0,0,0,0.0010031977,0.00246859,0.00092174841,0,0,0,0,0.00072479929,0,0
countries,0,0,0.0095543575,0,0,0,0.001309853,0,0,0,0,0.0051851026,0,0
find,0.0023072253,0,0,0.0017584405,0,0,0.0011158007,0,0.0012592593,0,0,0,0,0.0016607952
do,0,0,0,0,0,0,0,0,0,0,0,0,0,0
their,0,0,0,0,0,0,0,0,0,0,0,0,0,0
they,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hitherto,0.00048573163,0,0,0,0,0,0,0,0,0,0,0,0,0
always,0.0019834042,0,0,0.0032154341,0,0,0,0.000049930098,0,0,0,0,0,0.0045294414
easily,0.00052620927,0,0,0,0,0,0,0,0,0,0,0,0,0
able,0.0012143291,0.0029250029,0.0017061353,0.00015072347,0.0016301963,0,0,0,0,0,0,0.0012265834,0,0.0013085053
do,--many,0.000040477636,0,0,0,0,0,0,0,0,0,0,0,0,0
essential,0,0,0,0.00020096463,0,0.0029475701,0.0012128269,0.0013481126,0,0.0011280316,0,0.0016726137,0.0019427882,0.00070457977
fundamental,0.00072859745,0,0.00034122705,0,0,0,0.00097026149,0,0,0,0,0.00078055308,0,0.0018117765
things,0.0010928962,0.0038610039,0,0,0,0,0,0.00039944078,0,0,0,0,0,0.0028183191
any,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rate,0,0,0,0,0.0040127908,0,0.0017464707,0.0045436389,0,0,0,0,0,0
need,0,0,0,0,0,0,0,0,0,0,0,0,0,0
help,0,0.0095355095,0.0017743807,0,0,0,0,0.0037447573,0.011777778,0,0,0.0065789474,0.00422054,0.0025666834
manifold,0.00016191054,0,0,0,0,0,0,0,0,0,0,0.000055753791,0,0
services,0,0,0,0,0.0023825945,0.0012527173,0.0012613399,0,0.0031851852,0.0024172105,0,0,0,0
never,0,0.0016380016,0,0.005426045,0,0,0,0,0,0.0022560632,0.0050430139,0,0,0.0023653749
needed,0,0,0,0,0,0.0034633949,0.0020375491,0,0,0.0041898316,0,0.000055753791,0.0010718832,0
ready,0.0012952844,0.0013455013,0.00081894493,0.00065313505,0,0,0,0,0,0.0024977842,0,0,0,0
fit,0,0,0,0,0,0.00011053388,0,0,0,0.0012086053,0,0,0,0
ever,0.000445254,0,0.00034122705,0.0049738746,0,0,0.00087323534,0.0021469942,0,0.0024977842,0,0,0,0.0027176648
equal,0,0,0,0,0.00087779798,0,0.000097026149,0,0.0037777778,0,0,0.00078055308,0,0.0027176648
consequence,0.00020238818,0,0,0,0,0,0.00058215689,0,0,0,0,0,0,0
nations,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whom,0.0012548067,0,0,0.00070337621,0,0,0,0,0,0.00064458948,0,0,0,0
usually,0.00024286582,0,0,0,0,0,0,0,0,0,0,0,0,0
supplied,0,0,0,0,0,0,0,0,0,0.00088631053,0,0,0,0
innumerable,0,0,0,0,0,0,0,0,0,0.00040286842,0,0,0,0
